Plant Type,lat,lon,geometry
Poison Ivy,49.6795471,-99.2285605,POINT (-99.2285605 49.6795471)
Poison Ivy,45.3834099829,-75.7226024759,POINT (-75.7226024759 45.3834099829)
Poison Ivy,44.7285041052,-79.839145308,POINT (-79.839145308 44.7285041052)
Poison Ivy,44.2920168707,-78.1156324983,POINT (-78.1156324983 44.2920168707)
Poison Ivy,42.4672761195,-87.9351479001,POINT (-87.93514790010001 42.4672761195)
Poison Ivy,44.62305,-78.8498616667,POINT (-78.84986166669999 44.62305)
Poison Ivy,44.126436399,-94.3495269736,POINT (-94.34952697360001 44.126436399)
Poison Ivy,50.006511722,-96.8828491201,POINT (-96.8828491201 50.006511722)
Poison Ivy,50.01495762,-96.91571429,POINT (-96.91571429 50.01495762)
Poison Ivy,47.69754313,-117.31131582,POINT (-117.31131582 47.69754313)
Poison Ivy,50.0147142401,-96.9145869099,POINT (-96.9145869099 50.0147142401)
Poison Ivy,50.698037224,-120.4551950512,POINT (-120.4551950512 50.698037224)
Poison Ivy,43.2698578868,-81.8215304297,POINT (-81.8215304297 43.2698578868)
Poison Ivy,44.1389263748,-92.4890355674,POINT (-92.48903556739999 44.1389263748)
Poison Ivy,39.321946822,-104.659621577,POINT (-104.659621577 39.321946822)
Poison Ivy,43.8211069459,-79.1686085903,POINT (-79.1686085903 43.8211069459)
Poison Ivy,43.3494553,-80.3604709,POINT (-80.3604709 43.3494553)
Poison Ivy,45.7044694621,-87.9061618704,POINT (-87.9061618704 45.7044694621)
Poison Ivy,46.6635401715,-87.4459133648,POINT (-87.44591336480001 46.6635401715)
Poison Ivy,46.601355,-95.56755833,POINT (-95.56755833 46.601355)
Poison Ivy,51.0655811178,-106.4778243259,POINT (-106.4778243259 51.0655811178)
Poison Ivy,45.01858883,-79.81590333,POINT (-79.81590333 45.01858883)
Poison Ivy,43.6969886505,-79.3599431154,POINT (-79.3599431154 43.6969886505)
Poison Ivy,44.717625,-93.0993195,POINT (-93.09931949999999 44.717625)
Poison Ivy,50.18065,-119.3416055556,POINT (-119.3416055556 50.18065)
Poison Ivy,44.2609939782,-78.2474368902,POINT (-78.24743689020001 44.2609939782)
Poison Ivy,49.419842,-94.050041,POINT (-94.05004099999999 49.419842)
Poison Ivy,44.8491217251,-76.2039970429,POINT (-76.2039970429 44.8491217251)
Poison Ivy,44.1438790873,-72.4021621876,POINT (-72.4021621876 44.1438790873)
Poison Ivy,49.0914476,-98.0933179,POINT (-98.0933179 49.0914476)
Poison Ivy,44.4525950248,-94.7201330725,POINT (-94.7201330725 44.4525950248)
Poison Ivy,43.2533935309,-81.8335363828,POINT (-81.83353638280001 43.2533935309)
Poison Ivy,44.4779056994,-78.4531187302,POINT (-78.4531187302 44.4779056994)
Poison Ivy,42.9406306,-88.4814069,POINT (-88.4814069 42.9406306)
Poison Ivy,44.985825,-93.53556167,POINT (-93.53556167000001 44.985825)
Poison Ivy,44.37358,-121.13500283,POINT (-121.13500283 44.37358)
Poison Ivy,45.2956683935,-75.8074715589,POINT (-75.8074715589 45.2956683935)
Poison Ivy,46.6529439722,-86.0593439722,POINT (-86.0593439722 46.6529439722)
